| Domain                          | IP              | Port | Response Time (ms) | Notes        |
|---------------------------------|-----------------|------|--------------------|--------------|
| essays-learn.quipper.com        | 104.18.9.196    | 443  | 201.94             | is active!   |
| learn.quipper.com               | 104.18.9.196    | 443  | 207.18             | is active!   |
| essays-link.quipper.com         | 104.18.9.196    | 443  | 216.62             | is active!   |
| roboguru.ruangguru.com          | 104.22.21.245   | 443  | 218.13             | is active!   |
| career.ruangguru.com            | 104.22.20.245   | 443  | 236.15             | is active!   |
| dukungcoc.ruangguru.com         | 104.22.20.245   | 443  | 248.01             | is active!   |
| roboguru.ruangguru.com          | 104.22.20.245   | 443  | 252.09             | is active!   |
| studiokerja.ruangguru.com       | 172.67.22.129   | 443  | 253.56             | is active!   |
| pricing.webex.com               | 18.64.18.52     | 443  | 232.22             | is active!   |
| pricing.webex.com               | 18.64.18.88     | 443  | 259.21             | is active!   |
| rea.ruangguru.com               | 104.22.20.245   | 443  | 265.83             | is active!   |
| rea.ruangguru.com               | 172.67.22.129   | 443  | 272.55             | is active!   |
| dukungcoc.ruangguru.com         | 104.22.21.245   | 443  | 275.79             | is active!   |
| pricing.webex.com               | 18.64.18.30     | 443  | 278.31             | is active!   |
| roboguru.ruangguru.com          | 104.22.21.245   | 443  | 284.18             | is active!   |
| studiokerja.ruangguru.com       | 104.22.21.245   | 443  | 285.69             | is active!   |
| learn.quipper.com               | 104.18.9.196    | 443  | 288.77             | is active!   |
| career.ruangguru.com            | 104.22.21.245   | 443  | 293.89             | is active!   |
| roboguru.ruangguru.com          | 172.67.22.129   | 443  | 293.85             | is active!   |
| roboguru-ui.ruangguru.com       | 104.22.21.245   | 443  | 295.94             | is active!   |
| roboguru-ui.ruangguru.com       | 172.67.22.129   | 443  | 298.46             | is active!   |
| roboguru.ruangguru.com          | 172.67.22.129   | 443  | 300.11             | is active!   |
| studiokerja.ruangguru.com       | 104.22.20.245   | 443  | 303.54             | is active!   |
| liga.ruangguru.com              | 104.22.21.245   | 443  | 304.13             | is active!   |
| career.ruangguru.com            | 172.67.22.129   | 443  | 328.63             | is active!   |
| pricing.webex.com               | 18.64.18.92     | 443  | 334.20             | is active!   |
| studiokerja.ruangguru.com       | 172.67.22.129   | 443  | 321.56             | is active!   |
| liga.ruangguru.com              | 104.22.20.245   | 443  | 261.48             | is active!   |
| essays-link.quipper.com         | 104.18.8.196    | 443  | 320.24             | is active!   |
| essays-learn.quipper.com        | 104.18.8.196    | 443  | 319.99             | is active!   |
| learn.quipper.com               | 104.18.8.196    | 443  | 317.19             | is active!   |
| learn.quipper.com               | 104.18.8.196    | 443  | 377.56             | is active!   |
| liga.ruangguru.com              | 172.67.22.129   | 443  | 384.85             | is active!   |
| bayar.ruangguru.com             | 104.22.21.245   | 443  | 352.31             | is active!   |
| bayar.ruangguru.com             | 104.22.20.245   | 443  | 401.98             | is active!   |
| dukungcoc.ruangguru.com         | 172.67.22.129   | 443  | 408.35             | is active!   |
| rea.ruangguru.com               | 104.22.21.245   | 443  | 485.28             | is active!   |
| campus-partners.quipper.com     | 104.18.8.196    | 443  | 515.58             | is active!   |
| campus-partners.quipper.com     | 104.18.9.196    | 443  | 572.04             | is active!   |
| bayar.ruangguru.com             | 172.67.22.129   | 443  | 580.45             | is active!   |
| api.quipper.com                 | 104.18.8.196    | 443  | 609.00             | is active!   |
| api.quipper.com                 | 104.18.9.196    | 443  | 623.64             | is active!   |
| campus.quipper.com              | 104.18.9.196    | 443  | 645.11             | is active!   |
| campus.quipper.com              | 104.18.8.196    | 443  | 700.49             | is active!   |
| devs.quipper.com                | 104.21.32.1     | 443  | 791.19             | is active!   |
| devs.quipper.com                | 104.21.16.1     | 443  | 935.95             | is active!   |
| support.zoom.com                | 149.96.161.28   | 443  | 1001.31            | is active!   |
| web.webex.com                   | 108.138.141.63  | 443  | 192.47             | is active!   |
| web.webex.com                   | 108.138.141.6   | 443  | 200.64             | is active!   |
| web.webex.com                   | 108.138.141.114 | 443  | 205.55             | is active!   |
| web.webex.com                   | 108.138.141.113 | 443  | 260.17             | is active!   |
| preview.zoom.com                | 172.64.149.52   | 443  | 479.78             | is active!   |
| preview.zoom.com                | 104.18.38.204   | 443  | 559.80             | is active!   |
| signup.webex.com                | 18.245.199.87   | 443  | 1388.57            | is active!   |
| signup.webex.com                | 18.245.199.116  | 443  | 1425.71            | is active!   |
| signup.webex.com                | 18.245.199.70   | 443  | 1427.24            | is active!   |
